"Batch","Filename","Segments","Acquisition_s","Rate_evt_s","Save_s","Batch_s","DutyCycle_pct"
"1","WA0089_825V_Dark_20microV_trig-1.h5","30000","19.972673","1502.052352","22.526387","42.511742","46.981543"
"2","WA0089_825V_Dark_20microV_trig-2.h5","30000","23.450217","1279.305864","22.535405","45.99811","50.980827"
"3","WA0089_825V_Dark_20microV_trig-3.h5","30000","22.597111","1327.603321","22.593617","45.207067","49.985793"
"4","WA0089_825V_Dark_20microV_trig-4.h5","30000","10.338289","2901.834255","22.812749","33.191769","31.147145"
"5","WA0089_825V_Dark_20microV_trig-5.h5","30000","5.654591","5305.423129","22.974839","28.645284","19.740043"
"6","WA0089_825V_Dark_20microV_trig-6.h5","30000","0.923119","32498.518609","23.086338","24.02124","3.842928"
"7","WA0089_825V_Dark_20microV_trig-7.h5","30000","22.343089","1342.697076","22.669138","45.026729","49.621834"
"8","WA0089_825V_Dark_20microV_trig-8.h5","30000","28.20951","1063.47113","22.751613","50.982277","55.331994"
"9","WA0089_825V_Dark_20microV_trig-9.h5","30000","36.089848","831.258687","22.727388","58.83264","61.343242"
"10","WA0089_825V_Dark_20microV_trig-10.h5","30000","29.375212","1021.269215","22.666205","52.054383","56.431775"
