"Batch","Filename","Segments","Acquisition_s","Rate_evt_s","Save_s","Batch_s","DutyCycle_pct"
"1","WA0089_800V_Dark_20microV_trig-1.h5","30000","20.093662","1493.008086","22.606018","42.715698","47.040462"
"2","WA0089_800V_Dark_20microV_trig-2.h5","30000","20.980625","1429.890646","22.530447","43.529678","48.198439"
"3","WA0089_800V_Dark_20microV_trig-3.h5","30000","16.468109","1821.702783","22.593166","39.077268","42.142426"
"4","WA0089_800V_Dark_20microV_trig-4.h5","30000","16.475263","1820.911729","22.620812","39.108025","42.127576"
"5","WA0089_800V_Dark_20microV_trig-5.h5","30000","34.2828","875.074371","22.624744","56.923058","60.226562"
"6","WA0089_800V_Dark_20microV_trig-6.h5","30000","37.415031","801.816797","22.581267","60.020498","62.337088"
"7","WA0089_800V_Dark_20microV_trig-7.h5","30000","25.636351","1170.213334","22.539219","48.224182","53.16078"
"8","WA0089_800V_Dark_20microV_trig-8.h5","30000","22.121163","1356.167364","22.514315","44.658484","49.534067"
"9","WA0089_800V_Dark_20microV_trig-9.h5","30000","22.113002","1356.667907","22.622405","44.756973","49.406831"
"10","WA0089_800V_Dark_20microV_trig-10.h5","30000","16.619215","1805.139423","22.645515","39.285115","42.304101"
