"Batch","Filename","Segments","Acquisition_s","Rate_evt_s","Save_s","Batch_s","DutyCycle_pct"
"1","WA0089_850V_Dark_20microV_trig-1.h5","30000","33.222905","902.991475","22.606459","55.842592","59.493844"
"2","WA0089_850V_Dark_20microV_trig-2.h5","30000","28.806615","1041.427471","22.688904","51.5106","55.923663"
"3","WA0089_850V_Dark_20microV_trig-3.h5","30000","13.200802","2272.589196","22.713436","35.932716","36.737556"
"4","WA0089_850V_Dark_20microV_trig-4.h5","30000","23.62434","1269.876762","22.669559","46.317854","51.004824"
"5","WA0089_850V_Dark_20microV_trig-5.h5","30000","31.380854","955.996918","22.70725","54.099717","58.00558"
"6","WA0089_850V_Dark_20microV_trig-6.h5","30000","39.731823","755.062258","22.534767","62.277878","63.79765"
"7","WA0089_850V_Dark_20microV_trig-7.h5","30000","32.293745","928.97248","22.86814","55.187818","58.516074"
"8","WA0089_850V_Dark_20microV_trig-8.h5","30000","46.31689","647.711875","22.627957","68.963195","67.161752"
"9","WA0089_850V_Dark_20microV_trig-9.h5","30000","22.238303","1349.023805","22.675168","44.9338","49.491257"
"10","WA0089_850V_Dark_20microV_trig-10.h5","30000","60.767616","493.684","22.784416","83.570382","72.714298"
