"Batch","Filename","Segments","Acquisition_s","Rate_evt_s","Save_s","Batch_s","DutyCycle_pct"
"1","WA0089_750V_Dark_20microV_trig-1.h5","30000","5.461209","5493.289325","22.647177","28.230996","19.344726"
"2","WA0089_750V_Dark_20microV_trig-2.h5","30000","7.791798","3850.202334","22.775041","30.611195","25.45408"
"3","WA0089_750V_Dark_20microV_trig-3.h5","30000","4.210699","7124.708136","22.750206","26.974439","15.609959"
"4","WA0089_750V_Dark_20microV_trig-4.h5","30000","4.650824","6450.469575","22.831432","27.492724","16.916564"
"5","WA0089_750V_Dark_20microV_trig-5.h5","30000","5.210814","5757.258329","22.834112","28.066384","18.566031"
"6","WA0089_750V_Dark_20microV_trig-6.h5","30000","6.294806","4765.834079","22.861813","29.177903","21.57388"
"7","WA0089_750V_Dark_20microV_trig-7.h5","30000","6.447147","4653.221174","22.926534","29.384911","21.940331"
"8","WA0089_750V_Dark_20microV_trig-8.h5","30000","6.515884","4604.133671","22.756627","29.305961","22.233988"
"9","WA0089_750V_Dark_20microV_trig-9.h5","30000","7.026871","4269.325747","22.995139","30.040737","23.39114"
"10","WA0089_750V_Dark_20microV_trig-10.h5","30000","7.871862","3811.042661","22.856634","30.748138","25.6011"
