I(r1):                    145.455uA
I(r2):                    145.455uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    -0.00482764fA
I(r13):                   0A
I(r10):                   145.455uA
I(r18):                   0A
I(r12):                   145.455uA
I(r11):                   145.455uA
I(r14):                   0A
I(r15):                   0.000275538fA
I(r8):                    145.455uA
I(r7):                    145.455uA
I(r6):                    145.455uA
I(r9):                    145.455uA
I(r17):                   -145.455uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -145.455uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          400V
V(net-_d5-pin_1_):        222.545V
V(net-_d6-pin_1_):        254.545V
V(net-_d7-pin_1_):        286.545V
V(net-_d10-pin_1_):       382.545V
V(net-_d9-pin_1_):        350.545V
V(net-_p1-pin_1_):        398.545V
V(net-_d8-pin_1_):        318.545V
V(net-_c3-pad2_):         398.545V
V(net-_c2-pad2_):         382.545V
V(net-_c1-pad2_):         350.545V
V(net-_c1-pad1_):         318.545V
V(net-_g1-pin_1_):        16V
V(net-_k1-pin_1_):        0V
V(net-_d4-pin_1_):        190.545V
V(net-_d1-pin_1_):        64V
V(net-_d2-pin_1_):        126.545V
V(net-_d3-pin_1_):        158.545V

I(r4):                    181.818uA
I(r3):                    181.818uA
I(r5):                    181.818uA
I(r16):                   0A
I(r1):                    181.818uA
I(r2):                    181.818uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    -0.0012433fA
I(r13):                   0A
I(r10):                   181.818uA
I(r18):                   0A
I(r12):                   181.818uA
I(r11):                   181.818uA
I(r14):                   -0.000187967fA
I(r15):                   0A
I(r8):                    181.818uA
I(r7):                    181.818uA
I(r6):                    181.818uA
I(r9):                    181.818uA
I(r17):                   -181.818uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -181.818uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          500V
V(net-_d5-pin_1_):        278.182V
V(net-_d6-pin_1_):        318.182V
V(net-_d7-pin_1_):        358.182V
V(net-_d10-pin_1_):       478.182V
V(net-_d9-pin_1_):        438.182V
V(net-_p1-pin_1_):        498.182V
V(net-_d8-pin_1_):        398.182V
V(net-_c3-pad2_):         498.182V
V(net-_c2-pad2_):         478.182V
V(net-_c1-pad2_):         438.182V
V(net-_c1-pad1_):         398.182V
V(net-_g1-pin_1_):        20V
V(net-_k1-pin_1_):        0V
V(net-_d4-pin_1_):        238.182V
V(net-_d1-pin_1_):        80V
V(net-_d2-pin_1_):        158.182V
V(net-_d3-pin_1_):        198.182V

I(r4):                    218.182uA
I(r3):                    218.182uA
I(r5):                    218.182uA
I(r16):                   0A
I(r1):                    218.182uA
I(r2):                    218.182uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    0.00139061fA
I(r13):                   0A
I(r10):                   218.182uA
I(r18):                   0A
I(r12):                   218.182uA
I(r11):                   218.182uA
I(r14):                   0.000261625fA
I(r15):                   0.00022728fA
I(r8):                    218.182uA
I(r7):                    218.182uA
I(r6):                    218.182uA
I(r9):                    218.182uA
I(r17):                   -218.182uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -218.182uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          600V
V(net-_d5-pin_1_):        333.818V
V(net-_d6-pin_1_):        381.818V
V(net-_d7-pin_1_):        429.818V
V(net-_d10-pin_1_):       573.818V
V(net-_d9-pin_1_):        525.818V
V(net-_p1-pin_1_):        597.818V
V(net-_d8-pin_1_):        477.818V
V(net-_c3-pad2_):         597.818V
V(net-_c2-pad2_):         573.818V
V(net-_c1-pad2_):         525.818V
V(net-_c1-pad1_):         477.818V
V(net-_g1-pin_1_):        24V
V(net-_k1-pin_1_):        0V
V(net-_d4-pin_1_):        285.818V
V(net-_d1-pin_1_):        96V
V(net-_d2-pin_1_):        189.818V
V(net-_d3-pin_1_):        237.818V

I(r4):                    254.545uA
I(r3):                    254.545uA
I(r5):                    254.545uA
I(r16):                   0A
I(r1):                    254.545uA
I(r2):                    254.545uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    -0.0126398fA
I(r13):                   0A
I(r10):                   254.545uA
I(r18):                   0A
I(r12):                   254.545uA
I(r11):                   254.545uA
I(r14):                   0.000185313fA
I(r15):                   -0.000167759fA
I(r8):                    254.545uA
I(r7):                    254.545uA
I(r6):                    254.545uA
I(r9):                    254.545uA
I(r17):                   -254.545uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -254.545uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          700V
V(net-_d5-pin_1_):        389.455V
V(net-_d6-pin_1_):        445.455V
V(net-_d7-pin_1_):        501.455V
V(net-_d10-pin_1_):       669.455V
V(net-_d9-pin_1_):        613.455V
V(net-_p1-pin_1_):        697.455V
V(net-_d8-pin_1_):        557.455V
V(net-_c3-pad2_):         697.455V
V(net-_c2-pad2_):         669.455V
V(net-_c1-pad2_):         613.455V
V(net-_c1-pad1_):         557.455V
V(net-_g1-pin_1_):        28V
V(net-_k1-pin_1_):        0V
V(net-_d4-pin_1_):        333.455V
V(net-_d1-pin_1_):        112V
V(net-_d2-pin_1_):        221.455V
V(net-_d3-pin_1_):        277.455V

I(r4):                    290.909uA
I(r3):                    290.909uA
I(r5):                    290.909uA
I(r16):                   0A
I(r1):                    290.909uA
I(r2):                    290.909uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    -0.00965529fA
I(r13):                   0A
I(r10):                   290.909uA
I(r18):                   0A
I(r12):                   290.909uA
I(r11):                   290.909uA
I(r14):                   0A
I(r15):                   0.000551075fA
I(r8):                    290.909uA
I(r7):                    290.909uA
I(r6):                    290.909uA
I(r9):                    290.909uA
I(r17):                   -290.909uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -290.909uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          800V
V(net-_d5-pin_1_):        445.091V
V(net-_d6-pin_1_):        509.091V
V(net-_d7-pin_1_):        573.091V
V(net-_d10-pin_1_):       765.091V
V(net-_d9-pin_1_):        701.091V
V(net-_p1-pin_1_):        797.091V
V(net-_d8-pin_1_):        637.091V
V(net-_c3-pad2_):         797.091V
V(net-_c2-pad2_):         765.091V
V(net-_c1-pad2_):         701.091V
V(net-_c1-pad1_):         637.091V
V(net-_g1-pin_1_):        32V
V(net-_k1-pin_1_):        0V
V(net-_d4-pin_1_):        381.091V
V(net-_d1-pin_1_):        128V
V(net-_d2-pin_1_):        253.091V
V(net-_d3-pin_1_):        317.091V

I(r4):                    327.273uA
I(r3):                    327.273uA
I(r5):                    327.273uA
I(r16):                   0A
I(r1):                    327.273uA
I(r2):                    327.273uA
I(c1):                    0A
I(c2):                    0A
I(c3):                    -0.00737198fA
I(r13):                   0A
I(r10):                   327.273uA
I(r18):                   0A
I(r12):                   327.273uA
I(r11):                   327.273uA
I(r14):                   -0.000216545fA
I(r15):                   0.000279292fA
I(r8):                    327.273uA
I(r7):                    327.273uA
I(r6):                    327.273uA
I(r9):                    327.273uA
I(r17):                   -327.273uA
I(c4):                    0A
I(c5):                    0A
I(r19):                   0A
I(vhv1):                  -327.273uA
V(net-_j1-in_):           0V
V(net-_hv1-in_):          900V
V(net-_d5-pin_1_):        500.727V
V(net-_d6-pin_1_):        572.727V
V(net-_d7-pin_1_):        644.727V
V(net-_d10-pin_1_):       860.727V
V(net-_d9-pin_1_):        788.727V
V(net-_p1-pin_1_):        896.727V
V(net-_d8-pin_1_):        716.727V
V(net-_c3-pad2_):         896.727V
V(net-_c2-pad2_):         860.727V
V(net-_c1-pad2_):         788.727V
V(net-_c1-pad1_):         716.727V
V(net-_g1-pin_1_):        36V
V(net-_k1-pin_1_):        0V
